Pavs;PAE;EFF;G;Pout
16.5;30.002;30.602;17.071;33.571
16.6;30.3;30.908;17.057;33.657
16.7;30.6;31.217;17.043;33.743
16.8;30.902;31.527;17.028;33.828
16.9;31.207;31.84;17.014;33.914
17;31.514;32.155;16.999;33.999
17.1;31.822;32.473;16.984;34.084
17.2;32.134;32.793;16.969;34.169
17.3;32.447;33.115;16.954;34.254
17.4;32.763;33.439;16.939;34.339
17.5;33.081;33.766;16.924;34.424
17.6;33.401;34.096;16.908;34.508
17.7;33.724;34.428;16.893;34.593
17.8;34.049;34.763;16.877;34.677
17.9;34.377;35.1;16.862;34.762
18;34.707;35.44;16.846;34.846
18.1;35.04;35.782;16.831;34.931
18.2;35.375;36.127;16.815;35.015
18.3;35.713;36.475;16.799;35.099
18.4;36.053;36.826;16.783;35.183
18.5;36.397;37.179;16.767;35.267
18.6;36.743;37.536;16.752;35.352
18.7;37.092;37.895;16.736;35.436
18.8;37.444;38.258;16.72;35.52
18.9;37.799;38.624;16.704;35.604
19;38.156;38.992;16.688;35.688
19.1;38.517;39.364;16.672;35.772
19.2;38.881;39.74;16.656;35.856
19.3;39.249;40.119;16.64;35.94
19.4;39.62;40.501;16.624;36.024
19.5;39.994;40.887;16.608;36.108
19.6;40.371;41.276;16.592;36.192
19.7;40.752;41.669;16.576;36.276
19.8;41.137;42.066;16.56;36.36
19.9;41.525;42.467;16.544;36.444
20;41.918;42.871;16.528;36.528
20.1;42.314;43.28;16.513;36.613
20.2;42.714;43.693;16.497;36.697
20.3;43.118;44.11;16.481;36.781
20.4;43.527;44.531;16.466;36.866
20.5;43.939;44.957;16.45;36.95
20.6;44.356;45.388;16.435;37.035
20.7;44.778;45.823;16.42;37.12
20.8;45.203;46.262;16.404;37.204
20.9;45.634;46.707;16.389;37.289
21;46.069;47.156;16.373;37.373
21.1;46.509;47.611;16.358;37.458
21.2;46.954;48.07;16.342;37.542
21.3;47.404;48.535;16.325;37.625
21.4;47.858;49.005;16.308;37.708
21.5;48.318;49.481;16.29;37.79
21.6;48.783;49.962;16.271;37.871
21.7;49.253;50.449;16.25;37.95
21.8;49.728;50.942;16.227;38.027
21.9;50.209;51.442;16.203;38.103
22;50.695;51.947;16.178;38.178
22.1;51.187;52.46;16.15;38.25
22.2;51.684;52.978;16.122;38.322
22.3;52.187;53.503;16.092;38.392
22.4;52.694;54.032;16.061;38.461
22.5;53.204;54.566;16.028;38.528
22.6;53.716;55.102;15.995;38.595
22.7;54.227;55.638;15.96;38.66
22.8;54.735;56.171;15.923;38.723
22.9;55.235;56.697;15.885;38.785
23;55.723;57.213;15.845;38.845
23.1;56.196;57.713;15.802;38.902
23.2;56.649;58.195;15.756;38.956
23.3;57.079;58.655;15.708;39.008
23.4;57.486;59.092;15.657;39.057
23.5;57.868;59.506;15.602;39.102
23.6;58.225;59.896;15.545;39.145
23.7;58.561;60.265;15.486;39.186
23.8;58.875;60.613;15.424;39.224
23.9;59.168;60.942;15.36;39.26
24;59.443;61.253;15.293;39.293
24.1;59.698;61.546;15.225;39.325
24.2;59.934;61.82;15.156;39.356
24.3;60.151;62.077;15.084;39.384
24.4;60.349;62.315;15.011;39.411
24.5;60.528;62.535;14.936;39.436
24.6;60.687;62.736;14.86;39.46
24.7;60.828;62.921;14.782;39.482
24.8;60.952;63.089;14.703;39.503
24.9;61.06;63.241;14.622;39.522
25;61.151;63.379;14.54;39.54
25.1;61.228;63.504;14.457;39.557
25.2;61.291;63.616;14.373;39.573
25.3;61.341;63.715;14.288;39.588
25.4;61.379;63.803;14.202;39.602
25.5;61.404;63.88;14.116;39.616
25.6;61.416;63.945;14.028;39.628
25.7;61.413;63.996;13.941;39.641
25.8;61.389;64.026;13.852;39.652
25.9;61.328;64.019;13.764;39.664
26;61.206;63.95;13.675;39.675
26.1;61;63.794;13.586;39.686
26.2;60.703;63.544;13.496;39.696
26.3;60.332;63.217;13.407;39.707
26.4;59.915;62.843;13.316;39.716
26.5;59.472;62.444;13.225;39.725
26.6;59.016;62.031;13.133;39.733
26.7;58.55;61.609;13.041;39.741
26.8;58.077;61.181;12.948;39.748
26.9;57.601;60.75;12.854;39.754
27;57.124;60.319;12.76;39.76
27.1;56.649;59.891;12.664;39.764
27.2;56.175;59.466;12.569;39.769
27.3;55.701;59.043;12.472;39.772
27.4;55.227;58.62;12.374;39.774
27.5;54.751;58.197;12.275;39.775
27.6;54.272;57.773;12.175;39.775
27.7;53.789;57.347;12.074;39.774
27.8;53.305;56.921;11.971;39.771
27.9;52.82;56.495;11.868;39.768
28;52.334;56.069;11.764;39.764
