Type;FPL1026;
Version;1.90SP1;
Date;03.Jan 2024;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;1016487360.000000;Hz
Freq Offset;0.000000;Hz
Start;75295360.000000;Hz
Stop;1957679360.000000;Hz
Span;1882384000.000000;Hz
Ref Level;0.000000;dBm
Level Offset;0.000000;dB
Rf Att;13.000000;dB
El Att;0.000000;dB
RBW;1000000.000000;Hz
VBW;1000000.000000;Hz
SWT;0.003770;s
Sweep Count;0;
Window;1;Frequency Sweep
Ref Position;100.000000;%
Level Range;100.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
Trace;1;
Trace Mode;CLR/WRITE;
301181440;-76.64520263671875;-98.8613739013671875
303063824;-72.31247711181640625;-98.35887908935546875
304946208;-74.7578582763671875;-88.246673583984375
306828592;-76.47016143798828125;-101.228118896484375
308710976;-71.53936767578125;-87.6574859619140625
310593360;-74.43741607666015625;-93.95526123046875
312475744;-73.831268310546875;-95.86830902099609375
314358128;-74.10875701904296875;-106.2624664306640625
316240512;-72.52248382568359375;-95.895965576171875
318122896;-73.094451904296875;-114.9254913330078125
320005280;-76.04424285888671875;-110.57222747802734375
321887664;-72.00960540771484375;-99.08887481689453125
323770048;-72.7385711669921875;-101.08388519287109375
325652432;-72.42296600341796875;-102.94042205810546875
327534816;-76.98258209228515625;-92.8568572998046875
329417200;-75.71442413330078125;-107.3162994384765625
331299584;-75.60988616943359375;-84.8661956787109375
333181968;-75.72646331787109375;-112.42906951904296875
335064352;-71.65758514404296875;-94.86547088623046875
336946736;-72.09978485107421875;-90.57518768310546875
338829120;-72.8412017822265625;-107.00872039794921875
340711504;-74.021728515625;-100.602569580078125
342593888;-75.357818603515625;-87.75698089599609375
344476272;-74.09230804443359375;-100.31186676025390625
346358656;-71.89847564697265625;-99.85245513916015625
348241040;-76.33594512939453125;-86.96337127685546875
350123424;-74.60877227783203125;-89.21358489990234375
352005808;-75.4155426025390625;-100.11571502685546875
353888192;-73.96756744384765625;-93.60131072998046875
355770576;-73.89842987060546875;-91.68573760986328125
357652960;-71.4464263916015625;-97.31925201416015625
359535344;-75.34368133544921875;-100.18700408935546875
361417728;-72.64539337158203125;-87.48273468017578125
363300112;-70.4738922119140625;-96.9327392578125
365182496;-73.941192626953125;-84.21794891357421875
367064880;-76.91962432861328125;-95.207183837890625
368947264;-73.6685028076171875;-106.45923614501953125
370829648;-73.19783782958984375;-95.67052459716796875
372712032;-75.6633453369140625;-99.00504302978515625
374594416;-73.62905120849609375;-89.85160064697265625
376476800;-72.72551727294921875;-92.46848297119140625
378359184;-75.36873626708984375;-104.21152496337890625
380241568;-75.145965576171875;-91.7918701171875
382123952;-76.11423492431640625;-91.2979583740234375
384006336;-72.5352325439453125;-98.21834564208984375
385888720;-76.4371795654296875;-104.21428680419921875
387771104;-73.5007476806640625;-93.1862640380859375
389653488;-73.33652496337890625;-96.98114013671875
391535872;-74.379852294921875;-106.11421966552734375
393418256;-70.20485687255859375;-96.9678955078125
395300640;-70.62766265869140625;-100.99085235595703125
397183024;-75.679473876953125;-94.57447052001953125
399065408;-76.37085723876953125;-93.57416534423828125
400947792;-73.861480712890625;-90.51598358154296875
402830176;-71.69014739990234375;-95.54604339599609375
404712560;-73.01995086669921875;-111.8338470458984375
406594944;-72.8932647705078125;-108.58135223388671875
408477328;-72.12606048583984375;-103.07561492919921875
410359712;-72.208038330078125;-96.26045989990234375
412242096;-75.626251220703125;-103.1809844970703125
414124480;-72.9412841796875;-98.16631317138671875
416006864;-72.4402008056640625;-91.55246734619140625
417889248;-75.55385589599609375;-106.84856414794921875
419771632;-72.41661834716796875;-89.4055023193359375
421654016;-77.20281219482421875;-98.52082061767578125
423536400;-73.89238739013671875;-92.83899688720703125
425418784;-73.756561279296875;-106.41251373291015625
427301168;-75.28450775146484375;-102.47974395751953125
429183552;-72.3169097900390625;-90.8733673095703125
431065936;-74.13204193115234375;-89.1752166748046875
432948320;-76.64653778076171875;-101.45261383056640625
434830704;-76.322479248046875;-99.888946533203125
436713088;-75.75165557861328125;-94.88619232177734375
438595472;-73.567138671875;-93.91064453125
440477856;-73.6663360595703125;-93.8332061767578125
442360240;-73.642974853515625;-93.9770965576171875
444242624;-74.06847381591796875;-103.6768035888671875
446125008;-72.703704833984375;-102.2369384765625
448007392;-73.468994140625;-96.73818206787109375
449889776;-72.93837738037109375;-85.98136138916015625
451772160;-75.31775665283203125;-97.36809539794921875
453654544;-73.9415283203125;-104.54669189453125
455536928;-73.2568359375;-98.81520843505859375
457419312;-72.228485107421875;-103.74675750732421875
459301696;-74.20282745361328125;-99.89830780029296875
461184080;-72.0223388671875;-113.5837860107421875
463066464;-70.47158050537109375;-89.5084228515625
464948848;-75.64986419677734375;-99.84223175048828125
466831232;-72.41010284423828125;-100.18074798583984375
468713616;-77.08623504638671875;-107.01043701171875
470596000;-72.07172393798828125;-98.0550384521484375
472478384;-74.29647064208984375;-95.88896942138671875
474360768;-74.1314849853515625;-95.72478485107421875
476243152;-75.745635986328125;-96.350555419921875
478125536;-72.64752197265625;-111.9134979248046875
480007920;-73.48972320556640625;-94.76811981201171875
481890304;-72.702911376953125;-97.0231170654296875
483772688;-74.04671478271484375;-97.73871612548828125
485655072;-75.08827972412109375;-106.55002593994140625
487537456;-73.06247711181640625;-99.57295989990234375
489419840;-74.4329681396484375;-92.67285919189453125
491302224;-74.2868804931640625;-96.734893798828125
493184608;-71.993011474609375;-84.534332275390625
495066992;-78.02625274658203125;-105.2244873046875
