Type;FPL1026;
Version;1.90SP1;
Date;03.Jan 2024;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;1016487360.000000;Hz
Freq Offset;0.000000;Hz
Start;75295360.000000;Hz
Stop;1957679360.000000;Hz
Span;1882384000.000000;Hz
Ref Level;0.000000;dBm
Level Offset;0.000000;dB
Rf Att;13.000000;dB
El Att;0.000000;dB
RBW;1000000.000000;Hz
VBW;1000000.000000;Hz
SWT;0.003770;s
Sweep Count;0;
Window;1;Frequency Sweep
Ref Position;100.000000;%
Level Range;100.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
Trace;1;
Trace Mode;CLR/WRITE;
1048487888;-75.36562347412109375;-86.11833953857421875
1050370272;-70.362152099609375;-93.7774200439453125
1052252656;-74.126251220703125;-105.2767181396484375
1054135040;-72.5363922119140625;-91.85106658935546875
1056017424;-73.82482147216796875;-98.59496307373046875
1057899808;-74.6947479248046875;-94.19789886474609375
1059782192;-73.5577850341796875;-89.08910369873046875
1061664576;-74.71448516845703125;-95.09698486328125
1063546960;-75.13055419921875;-109.7274169921875
1065429344;-75.03974151611328125;-103.6740875244140625
1067311728;-73.2051544189453125;-107.7874908447265625
1069194112;-75.14591217041015625;-90.0701751708984375
1071076496;-75.192535400390625;-97.218658447265625
1072958880;-73.778106689453125;-97.590850830078125
1074841264;-65.42153167724609375;-95.34970855712890625
1076723648;-46.933258056640625;-64.42296600341796875
1078606032;-52.498401641845703125;-91.40959930419921875
1080488416;-72.19667816162109375;-85.1521759033203125
1082370800;-73.59816741943359375;-92.11110687255859375
1084253184;-74.33399200439453125;-100.0402679443359375
1086135568;-74.76751708984375;-96.581146240234375
1088017952;-72.71007537841796875;-88.71247100830078125
1089900336;-69.59481048583984375;-85.78760528564453125
1091782720;-69.606781005859375;-89.63895416259765625
1093665104;-72.8603668212890625;-88.04776763916015625
1095547488;-72.8894195556640625;-93.10158538818359375
1097429872;-73.9228363037109375;-85.7462005615234375
1099312256;-71.4062042236328125;-94.857940673828125
1101194640;-71.3018646240234375;-89.95241546630859375
1103077024;-71.92018890380859375;-93.1780853271484375
1104959408;-68.57274627685546875;-105.8947601318359375
1106841792;-70.01374053955078125;-109.6528778076171875
1108724176;-74.6540985107421875;-94.31219482421875
1110606560;-72.54326629638671875;-85.753082275390625
1112488944;-72.47104644775390625;-81.16303253173828125
1114371328;-52.7181396484375;-82.54106903076171875
1116253712;-51.8140716552734375;-82.11237335205078125
1118136096;-75.1367950439453125;-87.83620452880859375
1120018480;-73.52632904052734375;-88.26071929931640625
1121900864;-69.6861572265625;-90.36956787109375
1123783248;-76.23950958251953125;-106.9533843994140625
1125665632;-73.13726806640625;-87.15741729736328125
1127548016;-73.87380218505859375;-87.2280731201171875
1129430400;-73.46508026123046875;-93.63951873779296875
1131312784;-72.68094635009765625;-86.96590423583984375
1133195168;-73.0255584716796875;-92.47882080078125
1135077552;-71.21768951416015625;-96.3660430908203125
1136959936;-72.64507293701171875;-93.2993621826171875
1138842320;-70.65102386474609375;-101.32013702392578125
1140724704;-76.8770904541015625;-100.75574493408203125
1142607088;-75.82025909423828125;-104.57428741455078125
1144489472;-74.90210723876953125;-104.24047088623046875
1146371856;-75.9012908935546875;-102.885345458984375
1148254240;-69.9415740966796875;-99.36125946044921875
1150136624;-71.31534576416015625;-102.44580841064453125
1152019008;-68.66107177734375;-109.96216583251953125
1153901392;-54.443145751953125;-67.562896728515625
1155783776;-62.31475067138671875;-91.01123809814453125
1157666160;-75.3071746826171875;-112.325347900390625
1159548544;-74.437744140625;-93.18212890625
1161430928;-71.61324310302734375;-93.448333740234375
1163313312;-73.4766998291015625;-99.67592620849609375
1165195696;-74.9625701904296875;-86.61318206787109375
1167078080;-73.12545013427734375;-101.3004302978515625
1168960464;-74.58574676513671875;-93.832305908203125
1170842848;-75.548126220703125;-102.02381134033203125
1172725232;-76.709197998046875;-99.8192138671875
1174607616;-71.939727783203125;-83.21511077880859375
1176490000;-74.596893310546875;-83.47863006591796875
1178372384;-74.450592041015625;-91.09461212158203125
1180254768;-75.5497894287109375;-106.07056427001953125
1182137152;-76.74115753173828125;-110.91881561279296875
1184019536;-73.85749053955078125;-101.66115570068359375
1185901920;-72.031585693359375;-97.149078369140625
1187784304;-72.54111480712890625;-87.1529388427734375
1189666688;-70.12532806396484375;-91.95101165771484375
1191549072;-58.435901641845703125;-85.81427001953125
1193431456;-58.369659423828125;-82.5825958251953125
1195313840;-72.8998870849609375;-100.79319000244140625
1197196224;-70.9176788330078125;-110.094970703125
1199078608;-74.9152679443359375;-95.23377227783203125
1200960992;-75.01918792724609375;-105.654449462890625
1202843376;-74.3531951904296875;-100.72014617919921875
1204725760;-74.89656829833984375;-95.57131195068359375
1206608144;-72.62676239013671875;-96.4601593017578125
1208490528;-71.81912994384765625;-91.40035247802734375
1210372912;-72.601806640625;-101.7812347412109375
1212255296;-69.96097564697265625;-95.69683837890625
1214137680;-70.8596038818359375;-89.704864501953125
1216020064;-73.76172637939453125;-92.44107818603515625
1217902448;-75.81414794921875;-98.7866973876953125
1219784832;-73.33589935302734375;-81.4937286376953125
1221667216;-75.05751800537109375;-110.201324462890625
1223549600;-72.41741943359375;-85.1769256591796875
1225431984;-73.38735198974609375;-92.1739654541015625
1227314368;-71.0561676025390625;-107.7214813232421875
1229196752;-70.426361083984375;-82.3273468017578125
1231079136;-67.495819091796875;-89.728424072265625
1232961520;-73.39876556396484375;-101.925689697265625
1234843904;-74.36363983154296875;-103.22705841064453125
1236726288;-74.204986572265625;-99.972625732421875
1238608672;-74.9447021484375;-99.25894927978515625
1240491056;-74.1948699951171875;-89.06281280517578125
1242373440;-72.27292633056640625;-89.31268310546875
1244255824;-73.252593994140625;-96.7097320556640625
1246138208;-72.15546417236328125;-90.55224609375
1248020592;-71.75853729248046875;-93.53083038330078125
1249902976;-75.96282196044921875;-103.0254974365234375
1251785360;-75.72138214111328125;-103.464752197265625
1253667744;-77.04877471923828125;-96.96161651611328125
1255550128;-72.62935638427734375;-99.91239166259765625
1257432512;-73.07366943359375;-92.2415924072265625
1259314896;-73.33913421630859375;-94.773223876953125
1261197280;-77.6296234130859375;-92.86875152587890625
1263079664;-76.844940185546875;-104.833221435546875
1264962048;-72.61208343505859375;-97.6182403564453125
1266844432;-74.3173675537109375;-86.94557952880859375
1268726816;-74.93292999267578125;-96.08362579345703125
1270609200;-69.60901641845703125;-115.67232513427734375
1272491584;-72.24825286865234375;-97.75106048583984375
1274373968;-74.04351806640625;-89.3429412841796875
1276256352;-74.2973175048828125;-102.70917510986328125
1278138736;-68.704681396484375;-87.94379425048828125
1280021120;-71.55306243896484375;-101.60449981689453125
1281903504;-73.42545318603515625;-83.40015411376953125
1283785888;-69.7291717529296875;-86.84198760986328125
1285668272;-74.5731964111328125;-88.75954437255859375
1287550656;-72.21746063232421875;-83.19867706298828125
1289433040;-71.9546966552734375;-88.77347564697265625
1291315424;-72.64501190185546875;-101.42263031005859375
1293197808;-73.0503082275390625;-94.62400054931640625
1295080192;-72.2400054931640625;-90.80335235595703125
1296962576;-72.7274017333984375;-93.07762908935546875
1298844960;-73.73177337646484375;-106.11714935302734375
1300727344;-74.45122528076171875;-88.42426300048828125
1302609728;-71.3084869384765625;-88.2726287841796875
1304492112;-72.69281768798828125;-96.57678985595703125
1306374496;-67.89759063720703125;-92.78028106689453125
1308256880;-64.9700775146484375;-84.927520751953125
1310139264;-76.0705108642578125;-95.85251617431640625
1312021648;-70.60968780517578125;-93.8122406005859375
1313904032;-74.15106201171875;-89.73046112060546875
1315786416;-73.1269073486328125;-100.27016448974609375
1317668800;-76.07660675048828125;-102.10741424560546875
1319551184;-71.2023468017578125;-86.33586883544921875
1321433568;-73.84568023681640625;-90.52846527099609375
1323315952;-78.029754638671875;-112.65529632568359375
1325198336;-73.1732025146484375;-93.81414794921875
1327080720;-76.16761016845703125;-92.43746185302734375
1328963104;-73.39049530029296875;-102.8352508544921875
1330845488;-72.5231475830078125;-98.78322601318359375
1332727872;-74.30165863037109375;-94.44626617431640625
1334610256;-70.953948974609375;-110.00775146484375
1336492640;-74.33606719970703125;-91.5872955322265625
1338375024;-69.590545654296875;-88.2070770263671875
1340257408;-70.5502777099609375;-93.05625152587890625
1342139792;-73.9141693115234375;-100.35919189453125
1344022176;-72.32839202880859375;-102.00858306884765625
1345904560;-70.6616973876953125;-92.89621734619140625
1347786944;-72.77895355224609375;-88.84687042236328125
1349669328;-73.13030242919921875;-103.28069305419921875
1351551712;-75.0337982177734375;-108.81624603271484375
1353434096;-74.77022552490234375;-109.2689361572265625
1355316480;-72.184906005859375;-106.12281036376953125
1357198864;-72.5226593017578125;-91.485382080078125
1359081248;-74.39041900634765625;-109.74353790283203125
1360963632;-71.10418701171875;-94.94077301025390625
1362846016;-77.54453277587890625;-113.73798370361328125
1364728400;-74.54650115966796875;-98.40471649169921875
1366610784;-74.2495574951171875;-86.2545928955078125
1368493168;-74.4698028564453125;-99.6007843017578125
1370375552;-71.64307403564453125;-92.9935150146484375
1372257936;-74.89377593994140625;-102.13726806640625
1374140320;-72.31392669677734375;-93.1475830078125
1376022704;-71.34604644775390625;-85.99362945556640625
1377905088;-71.3305206298828125;-84.6916351318359375
1379787472;-73.7629852294921875;-94.0484466552734375
1381669856;-71.09000396728515625;-92.52965545654296875
1383552240;-62.87375640869140625;-85.3375244140625
1385434624;-59.30246734619140625;-86.0388641357421875
1387317008;-76.061920166015625;-98.45955657958984375
1389199392;-73.2903900146484375;-105.94484710693359375
1391081776;-72.0401611328125;-85.26049041748046875
1392964160;-74.63741302490234375;-92.28533935546875
1394846544;-68.99691009521484375;-107.51100921630859375
1396728928;-70.8415374755859375;-96.3898773193359375
1398611312;-70.6558380126953125;-96.400146484375
1400493696;-72.6259613037109375;-82.6306610107421875
1402376080;-72.2172698974609375;-102.02056884765625
1404258464;-72.2144927978515625;-91.82576751708984375
1406140848;-69.486724853515625;-109.23606109619140625
1408023232;-73.37119293212890625;-93.21056365966796875
1409905616;-73.59912109375;-89.079742431640625
1411788000;-72.28376007080078125;-98.26035308837890625
1413670384;-74.05768585205078125;-99.283660888671875
1415552768;-73.7185821533203125;-95.3443603515625
1417435152;-71.2598724365234375;-109.5189361572265625
1419317536;-71.540191650390625;-119.11241912841796875
1421199920;-73.71401214599609375;-97.4959716796875
1423082304;-62.14023590087890625;-97.7354583740234375
1424964688;-72.16516876220703125;-100.95259857177734375
1426847072;-71.43744659423828125;-101.1185150146484375
1428729456;-72.0209808349609375;-90.3191680908203125
1430611840;-71.9915618896484375;-87.30312347412109375
1432494224;-74.7180938720703125;-99.71495819091796875
1434376608;-74.79088592529296875;-103.425445556640625
1436258992;-74.5045318603515625;-93.70088958740234375
1438141376;-73.49530029296875;-88.10735321044921875
1440023760;-72.32219696044921875;-86.7259674072265625
1441906144;-71.65485382080078125;-97.02593994140625
1443788528;-71.6888885498046875;-93.29589080810546875
1445670912;-72.277801513671875;-104.5687103271484375
1447553296;-70.78264617919921875;-92.7188720703125
1449435680;-74.2053985595703125;-84.4682464599609375
1451318064;-73.86887359619140625;-87.8699188232421875
1453200448;-71.55916595458984375;-94.3720550537109375
1455082832;-76.52573394775390625;-108.81473541259765625
1456965216;-72.35860443115234375;-91.93488311767578125
1458847600;-73.28760528564453125;-93.5120086669921875
1460729984;-65.4092254638671875;-90.9090118408203125
1462612368;-64.2771148681640625;-88.80532073974609375
1464494752;-75.6105804443359375;-100.3570709228515625
1466377136;-74.44496917724609375;-105.091766357421875
1468259520;-72.9296417236328125;-97.29293060302734375
1470141904;-72.12668609619140625;-103.70995330810546875
1472024288;-72.17479705810546875;-95.39435577392578125
1473906672;-76.3235626220703125;-91.20035552978515625
1475789056;-73.29494476318359375;-86.72650909423828125
1477671440;-70.505584716796875;-82.96515655517578125
1479553824;-75.2025909423828125;-95.042205810546875
1481436208;-71.3868255615234375;-88.22820281982421875
1483318592;-70.83792877197265625;-103.1549835205078125
1485200976;-70.73016357421875;-87.24806976318359375
1487083360;-72.8138275146484375;-119.24554443359375
1488965744;-74.01451873779296875;-92.03366851806640625
1490848128;-74.8094940185546875;-100.800323486328125
1492730512;-72.795074462890625;-92.63008880615234375
1494612896;-70.340362548828125;-92.9025115966796875
1496495280;-72.35387420654296875;-88.06295013427734375
1498377664;-73.25397491455078125;-96.3360748291015625
1500260048;-61.29083251953125;-83.01514434814453125
1502142432;-69.95557403564453125;-93.60309600830078125
1504024816;-72.6797332763671875;-84.57970428466796875
1505907200;-75.25670623779296875;-119.547943115234375
1507789584;-73.948028564453125;-84.3862152099609375
1509671968;-72.52297210693359375;-84.61956787109375
1511554352;-72.47702789306640625;-96.3087310791015625
1513436736;-75.7972412109375;-109.04637908935546875
1515319120;-72.8354644775390625;-96.84706878662109375
1517201504;-71.47750091552734375;-100.67650604248046875
1519083888;-71.41580963134765625;-97.530120849609375
1520966272;-72.2819366455078125;-94.46631622314453125
1522848656;-68.7501373291015625;-81.576812744140625
1524731040;-71.0294342041015625;-89.6854095458984375
1526613424;-70.24942779541015625;-114.03565216064453125
1528495808;-72.38188934326171875;-90.59438323974609375
1530378192;-72.6611175537109375;-98.39624786376953125
1532260576;-72.23255157470703125;-82.56778717041015625
1534142960;-73.16910552978515625;-99.8394012451171875
1536025344;-70.67029571533203125;-105.854583740234375
1537907728;-71.464752197265625;-89.731597900390625
1539790112;-73.6837005615234375;-90.4890899658203125
1541672496;-72.43012237548828125;-93.17345428466796875
1543554880;-73.5556182861328125;-88.54270172119140625
1545437264;-71.37848663330078125;-100.08142852783203125
1547319648;-71.6419677734375;-101.73969268798828125
1549202032;-72.793701171875;-82.880340576171875
1551084416;-75.92234039306640625;-97.78360748291015625
1552966800;-72.4232025146484375;-101.6761322021484375
1554849184;-72.36383819580078125;-89.0386962890625
1556731568;-77.6078338623046875;-95.597747802734375
1558613952;-75.354339599609375;-97.17877197265625
1560496336;-74.92743682861328125;-103.2396087646484375
1562378720;-70.712799072265625;-99.30879974365234375
1564261104;-70.05007171630859375;-97.14058685302734375
1566143488;-73.1756591796875;-98.29470062255859375
1568025872;-72.97914886474609375;-103.0927886962890625
1569908256;-72.332427978515625;-96.0246124267578125
1571790640;-73.85659027099609375;-92.70140838623046875
1573673024;-73.27713775634765625;-110.37979888916015625
1575555408;-66.91092681884765625;-94.56298065185546875
1577437792;-61.163394927978515625;-70.24212646484375
1579320176;-70.47760772705078125;-96.9279937744140625
1581202560;-71.01378631591796875;-89.1111297607421875
1583084944;-73.43365478515625;-93.2205352783203125
1584967328;-73.30574798583984375;-102.364349365234375
1586849712;-74.75296783447265625;-99.8868865966796875
1588732096;-72.15032196044921875;-90.79888916015625
1590614480;-75.85617828369140625;-108.239532470703125
1592496864;-67.7993927001953125;-101.05356597900390625
1594379248;-67.60559844970703125;-89.6522674560546875
1596261632;-71.2291412353515625;-87.23212432861328125
1598144016;-71.1937103271484375;-101.94208526611328125
1600026400;-70.029541015625;-113.07275390625
1601908784;-71.98223876953125;-102.802337646484375
1603791168;-73.63983154296875;-94.43198394775390625
1605673552;-70.31421661376953125;-95.50852203369140625
1607555936;-74.17250823974609375;-94.2334442138671875
1609438320;-67.88037872314453125;-83.07024383544921875
1611320704;-74.01055908203125;-86.48303985595703125
1613203088;-71.97805023193359375;-102.1825408935546875
1615085472;-55.18744659423828125;-90.116943359375
1616967856;-56.041614532470703125;-93.22019195556640625
1618850240;-70.08441162109375;-95.3546142578125
1620732624;-70.3894195556640625;-92.49092864990234375
1622615008;-68.36103057861328125;-94.9157562255859375
1624497392;-73.27642059326171875;-92.27674102783203125
1626379776;-72.05535888671875;-99.677459716796875
1628262160;-71.4768829345703125;-102.45452117919921875
1630144544;-73.24033355712890625;-98.7052459716796875
1632026928;-72.3094940185546875;-86.1773834228515625
1633909312;-75.19382476806640625;-94.3220062255859375
1635791696;-74.06453704833984375;-89.290283203125
1637674080;-72.92946624755859375;-106.71717071533203125
1639556464;-72.47670745849609375;-103.4423980712890625
1641438848;-70.7750091552734375;-100.63896942138671875
1643321232;-72.50609588623046875;-92.940216064453125
1645203616;-75.0367584228515625;-96.18753814697265625
1647086000;-69.64801788330078125;-96.80783843994140625
1648968384;-72.2166290283203125;-92.14846038818359375
1650850768;-73.05010986328125;-98.38756561279296875
1652733152;-66.022430419921875;-102.02072906494140625
1654615536;-62.961071014404296875;-78.5422821044921875
1656497920;-70.12039947509765625;-101.6740570068359375
1658380304;-71.92710113525390625;-88.89664459228515625
1660262688;-76.71855926513671875;-91.33687591552734375
1662145072;-69.31591796875;-95.15309906005859375
1664027456;-73.65869903564453125;-106.87123870849609375
1665909840;-71.41748809814453125;-105.32266998291015625
1667792224;-71.10636138916015625;-97.50705718994140625
1669674608;-74.19777679443359375;-98.9814300537109375
1671556992;-70.16004180908203125;-96.17662811279296875
1673439376;-74.07289886474609375;-102.2031707763671875
1675321760;-71.052764892578125;-90.45679473876953125
1677204144;-71.6539154052734375;-106.9111175537109375
1679086528;-74.86582183837890625;-89.2541961669921875
1680968912;-72.6442108154296875;-101.84124755859375
1682851296;-70.28212738037109375;-98.27346038818359375
1684733680;-76.063140869140625;-115.89272308349609375
1686616064;-72.8563995361328125;-91.85146331787109375
1688498448;-68.39630126953125;-104.33599090576171875
1690380832;-70.98069000244140625;-89.204010009765625
1692263216;-61.97247314453125;-81.40326690673828125
1694145600;-62.7765350341796875;-102.35784149169921875
1696027984;-72.93204498291015625;-90.38928985595703125
1697910368;-70.87026214599609375;-91.36006927490234375
1699792752;-68.93096160888671875;-94.401275634765625
1701675136;-68.6110687255859375;-88.7830657958984375
1703557520;-71.34100341796875;-107.5050048828125
1705439904;-69.45726776123046875;-93.007415771484375
1707322288;-72.72684478759765625;-93.7294921875
1709204672;-76.22072601318359375;-107.50878143310546875
1711087056;-71.4471588134765625;-84.8270416259765625
1712969440;-75.217132568359375;-100.05850982666015625
1714851824;-74.49283599853515625;-96.8928375244140625
1716734208;-71.772186279296875;-89.1983489990234375
1718616592;-71.2126007080078125;-89.858551025390625
1720498976;-70.78968048095703125;-98.19078826904296875
1722381360;-74.46617889404296875;-90.44353485107421875
1724263744;-73.46734619140625;-96.44251251220703125
1726146128;-73.19235992431640625;-92.38817596435546875
1728028512;-73.88413238525390625;-98.14835357666015625
1729910896;-66.70305633544921875;-95.95818328857421875
1731793280;-67.67243194580078125;-79.420135498046875
1733675664;-74.74146270751953125;-89.16280364990234375
1735558048;-72.75140380859375;-90.23412322998046875
1737440432;-73.1424407958984375;-96.5085906982421875
1739322816;-68.1045989990234375;-93.96118927001953125
1741205200;-75.5433349609375;-96.76418304443359375
1743087584;-74.03057861328125;-85.1295013427734375
1744969968;-69.744232177734375;-90.70249176025390625
1746852352;-70.06778717041015625;-88.8960723876953125
1748734736;-68.3515777587890625;-89.6138153076171875
1750617120;-71.19821929931640625;-84.6356658935546875
1752499504;-72.26711273193359375;-82.00147247314453125
1754381888;-70.74292755126953125;-88.21795654296875
1756264272;-70.5673370361328125;-106.27393341064453125
1758146656;-71.46343994140625;-95.27046966552734375
1760029040;-72.38531494140625;-97.6507415771484375
1761911424;-74.35161590576171875;-100.0330047607421875
1763793808;-68.9218292236328125;-83.421539306640625
1765676192;-69.25299835205078125;-110.7372894287109375
1767558576;-70.6965484619140625;-97.18138885498046875
1769440960;-57.55965423583984375;-74.51181793212890625
1771323344;-61.89389801025390625;-85.82628631591796875
1773205728;-72.71581268310546875;-86.60903167724609375
1775088112;-73.3240203857421875;-81.886871337890625
1776970496;-73.4613037109375;-95.89644622802734375
1778852880;-71.68274688720703125;-102.92861175537109375
1780735264;-73.06642913818359375;-81.41413116455078125
1782617648;-74.87076568603515625;-83.922149658203125
1784500032;-69.96063232421875;-80.99398040771484375
1786382416;-71.18149566650390625;-84.3751678466796875
1788264800;-74.88421630859375;-105.92693328857421875
1790147184;-76.99755859375;-109.17862701416015625
1792029568;-74.41931915283203125;-95.00606536865234375
1793911952;-76.91461944580078125;-94.9038238525390625
1795794336;-71.81180572509765625;-87.12236785888671875
1797676720;-73.63559722900390625;-104.28784942626953125
1799559104;-72.89255523681640625;-92.8769683837890625
1801441488;-74.5422515869140625;-111.62103271484375
1803323872;-71.3385162353515625;-100.93329620361328125
1805206256;-73.302490234375;-94.82453155517578125
1807088640;-52.816455841064453125;-84.36370086669921875
1808971024;-51.36458587646484375;-91.2860870361328125
1810853408;-66.1381072998046875;-100.336669921875
1812735792;-66.70252227783203125;-95.4947052001953125
1814618176;-71.20317840576171875;-91.4634857177734375
1816500560;-65.35044097900390625;-100.3932342529296875
1818382944;-70.6162872314453125;-88.46431732177734375
1820265328;-68.02140045166015625;-111.53232574462890625
1822147712;-70.0704803466796875;-84.91074371337890625
1824030096;-67.3412628173828125;-89.77274322509765625
1825912480;-73.84905242919921875;-95.90100860595703125
1827794864;-69.0564727783203125;-95.1912689208984375
1829677248;-72.42978668212890625;-105.57520294189453125
1831559632;-72.76279449462890625;-98.109649658203125
1833442016;-67.3902435302734375;-92.4703521728515625
1835324400;-67.96979522705078125;-85.40984344482421875
1837206784;-72.0853118896484375;-85.3118438720703125
1839089168;-72.85040283203125;-95.386444091796875
1840971552;-72.7787628173828125;-93.6884765625
1842853936;-68.83721923828125;-92.18857574462890625
1844736320;-58.514614105224609375;-103.14719390869140625
1846618704;-45.1830596923828125;-58.0719757080078125
1848501088;-53.572277069091796875;-95.7328338623046875
1850383472;-71.265167236328125;-93.87508392333984375
1852265856;-69.12700653076171875;-89.405059814453125
1854148240;-69.00008392333984375;-82.08294677734375
1856030624;-65.126068115234375;-101.66997528076171875
1857913008;-65.8213348388671875;-79.89359283447265625
1859795392;-65.61517333984375;-89.8706512451171875
1861677776;-69.9008331298828125;-87.62111663818359375
1863560160;-69.05344390869140625;-86.6905059814453125
1865442544;-69.60846710205078125;-88.03713226318359375
1867324928;-71.204833984375;-108.87198638916015625
1869207312;-66.08554840087890625;-95.172149658203125
1871089696;-74.58673095703125;-106.054718017578125
1872972080;-68.8912506103515625;-89.44014739990234375
1874854464;-70.44063568115234375;-86.292266845703125
1876736848;-65.91393280029296875;-82.46686553955078125
1878619232;-66.9141387939453125;-79.00165557861328125
1880501616;-72.20391082763671875;-91.737579345703125
1882384000;-77.552734375;-98.24080657958984375
1884266384;-38.355907440185546875;-82.9234161376953125
1886148768;-38.28498077392578125;-82.85897064208984375
1888031152;-73.72845458984375;-95.3417510986328125
1889913536;-73.1800384521484375;-92.6594696044921875
1891795920;-72.28461456298828125;-88.22469329833984375
1893678304;-73.5718994140625;-99.55130767822265625
1895560688;-73.75641632080078125;-108.872955322265625
1897443072;-73.12133026123046875;-96.98382568359375
1899325456;-71.7623291015625;-96.52423858642578125
1901207840;-72.29693603515625;-90.6645660400390625
1903090224;-72.52428436279296875;-110.9667510986328125
1904972608;-73.05999755859375;-105.94054412841796875
1906854992;-75.065338134765625;-95.689605712890625
1908737376;-71.23711395263671875;-92.46146392822265625
1910619760;-73.27313995361328125;-82.56212615966796875
1912502144;-75.04331207275390625;-98.5418548583984375
1914384528;-71.2732696533203125;-93.5896148681640625
1916266912;-73.79926300048828125;-100.1432342529296875
1918149296;-72.732208251953125;-89.620574951171875
1920031680;-73.8476409912109375;-95.447723388671875
1921914064;-48.1558990478515625;-84.8349609375
1923796448;-37.81041717529296875;-48.8228302001953125
1925678832;-49.270969390869140625;-95.05112457275390625
1927561216;-79.1990203857421875;-104.64965057373046875
1929443600;-70.95769500732421875;-101.252044677734375
1931325984;-73.19242095947265625;-104.1920623779296875
1933208368;-74.687835693359375;-88.5329742431640625
1935090752;-74.94952392578125;-97.40813446044921875
1936973136;-73.93584442138671875;-88.16606903076171875
1938855520;-73.1807403564453125;-90.56536865234375
1940737904;-75.430023193359375;-91.47893524169921875
1942620288;-73.071807861328125;-90.4429931640625
1944502672;-71.9149169921875;-101.0168609619140625
1946385056;-72.00302886962890625;-88.5107574462890625
1948267440;-72.294677734375;-102.90645599365234375
1950149824;-74.0557403564453125;-91.5193328857421875
1952032208;-74.91949462890625;-108.97710418701171875
1953914592;-73.8587493896484375;-99.63713836669921875
1955796976;-77.02208709716796875;-97.31201934814453125
1957679360;-72.42249298095703125;-104.13170623779296875
